osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,bridge,ref,junction,tunnel,access,width
1248896772,tertiary,2,40,ESI Road,True,False,13.265537088425605,"LINESTRING (80.6699048 16.5149622, 80.6698177 16.5150474)",,,,,,
178648668,primary,,,Old NH16 Road,True,False,552.4578185020795,"LINESTRING (80.6699048 16.5149622, 80.6686386 16.5134773, 80.6683082 16.5130899, 80.6670901 16.51167, 80.6666191 16.5111202)",,,,,,
628780764,primary,,,Durga Temple Road,False,True,10.185245655174732,"LINESTRING (80.6065253 16.5115037, 80.6065176 16.5114124)",,,,,,
"[51774884, 219191549]",primary,2,,,True,False,87.0797315996261,"LINESTRING (80.6065253 16.5115037, 80.6064811 16.5120777, 80.6064712 16.5121687, 80.606467 16.5122847)",yes,NH65,,,,
1213020396,primary,,,,True,False,104.35716125985306,"LINESTRING (80.606467 16.5122847, 80.6069587 16.5122512, 80.6071555 16.512239, 80.6074434 16.5122181)",,,,,,
"[848374849, 1213020397]",primary,,,,True,False,855.1202461756769,"LINESTRING (80.606467 16.5122847, 80.6063231 16.5123026, 80.6060962 16.5123238, 80.6060636 16.5123268, 80.6051884 16.512415, 80.6050856 16.5124299, 80.6050136 16.5124514, 80.6047928 16.5125511, 80.6045164 16.5126759, 80.6043602 16.5127564, 80.603925 16.5129355, 80.603837 16.5129831, 80.6038286 16.5129883, 80.6037423 16.5130415, 80.6036317 16.513126, 80.6034945 16.5132371, 80.6034007 16.5133363, 80.6033242 16.5134321, 80.6032603 16.5135308, 80.6032066 16.5136507, 80.6031823 16.513736, 80.6031279 16.5139401, 80.6030167 16.514303, 80.6029836 16.5143823, 80.6029055 16.5145207, 80.6026649 16.5148499, 80.6026542 16.5148788, 80.6026543 16.5149227, 80.6026726 16.5150829, 80.602727 16.5155252, 80.6027557 16.5158524, 80.6027981 16.5163884, 80.602836 16.5167652, 80.6028448 16.5168549, 80.6028701 16.5172538, 80.6028645 16.5176371)",,,,,,
1296275383,tertiary,,,Arjuna Street,False,True,10.559764413378392,"LINESTRING (80.6194179 16.5092632, 80.6194031 16.5093571)",,,,,,
1038947655,trunk,,,,True,False,437.56977126766003,"LINESTRING (80.6194179 16.5092632, 80.6192972 16.5092504, 80.6191725 16.5092285, 80.6189324 16.5091578, 80.6187031 16.5090793, 80.6185046 16.5089893, 80.6182002 16.5087977, 80.6177978 16.5085007, 80.6172963 16.5081201, 80.6168423 16.5077646, 80.6167363 16.5076836, 80.616635 16.5076135, 80.6165204 16.5075306, 80.6164354 16.5074647, 80.6161463 16.5072724, 80.6160804 16.5072326, 80.6159924 16.5071849)",,NH65,,,,
219013726,trunk,2,,,True,False,88.54362482751891,"LINESTRING (80.634313 16.5017002, 80.6346421 16.5015032, 80.6350189 16.5012807)",,NH65,,,,
219013727,trunk_link,2,,,True,False,94.88472681182526,"LINESTRING (80.634313 16.5017002, 80.6344765 16.5014248, 80.6345179 16.5013417, 80.634549 16.5012455, 80.6345526 16.501191, 80.6345323 16.5010877, 80.6344832 16.500998, 80.6344157 16.5009467)",,,,,,
848280438,secondary,,,HB Colony Road,True,False,11.977687405841127,"LINESTRING (80.5939314 16.5258944, 80.5938678 16.5258056)",,,,,,
848280437,trunk,,,,True,False,89.14298989943345,"LINESTRING (80.5939314 16.5258944, 80.5941541 16.5255718, 80.5944103 16.5252375)",,NH65,,,,
51774882,trunk,,,,True,False,25.1311118613381,"LINESTRING (80.5906953 16.5293199, 80.5908692 16.5291673)",,NH65,,,,
848271319,residential,,,,False,True,65.43614805825933,"LINESTRING (80.5906953 16.5293199, 80.5907177 16.5293633, 80.5907575 16.5294355, 80.5909512 16.5298546)",,,,,,
177626331,secondary,,,,True,False,34.71159465646713,"LINESTRING (80.6178338 16.5113484, 80.6180882 16.5114088, 80.618149 16.5114264)",,MDR074,,,,
1414693655,secondary,,,,True,False,16.51031908251848,"LINESTRING (80.6178338 16.5113484, 80.6178696 16.5113021, 80.6178862 16.5112596, 80.6178887 16.5112142)",,MDR074,roundabout,,,
374387205,tertiary,,,,True,False,2.435336221244213,"LINESTRING (80.6575321 16.4938797, 80.657547 16.4938631)",,,roundabout,,,
279535727,tertiary,,,Panta Kaluva Road,True,False,8.07715243224244,"LINESTRING (80.6711516 16.4961238, 80.6712205 16.4960936)",,,,,,
848738452,tertiary,2,40,PSC Bose Road,True,False,40.05583977393264,"LINESTRING (80.6711516 16.4961238, 80.6712913 16.4964582)",,,,,,
219013730,trunk,,,,True,False,35.57264043882939,"LINESTRING (80.6373906 16.4996899, 80.6371126 16.4998668)",,NH65,,,,
678633503,tertiary,,,,False,True,15.068719452313083,"LINESTRING (80.6373906 16.4996899, 80.637315 16.4995754)",,,,,,
1248886878,tertiary,,,,True,False,14.885521088979553,"LINESTRING (80.6561155 16.4998101, 80.6561937 16.4996992)",,,,,,
1527125157,primary,,,,True,False,10.805649820551702,"LINESTRING (80.6561155 16.4998101, 80.6560452 16.4997401)",,,,,,
843799223,tertiary,,,,True,False,52.709777621271925,"LINESTRING (80.6525734 16.5026658, 80.6529775 16.5023927)",,,,,,
415765714,residential,,,,False,False,151.88735133215124,"LINESTRING (80.6525734 16.5026658, 80.6529474 16.5033313, 80.6531653 16.5037942, 80.65321 16.5038869)",,,,,,
350502993,secondary,3,,MG Road,True,False,94.74375684889364,"LINESTRING (80.6389149 16.5032826, 80.6393799 16.50311, 80.6397469 16.5029834)",,MDR074,,,,
678625367,tertiary,,,,False,False,16.66741150309947,"LINESTRING (80.6362318 16.5042582, 80.6361746 16.5041187)",,,,,,
177626285,tertiary,,,Eat Street,False,False,38.94512699738873,"LINESTRING (80.6362318 16.5042582, 80.6362537 16.5043215, 80.6363383 16.5045932)",,,,,,
350502993,secondary,3,,MG Road,True,False,108.13370180851415,"LINESTRING (80.6362318 16.5042582, 80.6363429 16.5042185, 80.6370973 16.5039437, 80.6371802 16.5039135)",,MDR074,,,,
343269495,tertiary,,,,True,False,10.369709398546052,"LINESTRING (80.6478474 16.5044564, 80.6477583 16.5044938)",,,,,,
843799213,tertiary,,,,True,False,9.30185963484385,"LINESTRING (80.6478474 16.5044564, 80.6478624 16.5044803, 80.6478844 16.5044986, 80.6479112 16.5045093)",,,roundabout,,,
396962790,tertiary,,,ITI College Road,True,False,10.869544476171779,"LINESTRING (80.6614485 16.5050257, 80.6613514 16.5050555)",,,,,,
1527125157,primary,,,,True,False,264.9840546476892,"LINESTRING (80.6614485 16.5050257, 80.6597188 16.5033144)",,,,,,
350502993,secondary,3,,MG Road,True,False,10.606207138519613,"LINESTRING (80.6324022 16.5055938, 80.6324966 16.5055637)",,MDR074,,,,
678625359,tertiary,,,Pingali Venkaiah Marg,True,False,41.105699794274344,"LINESTRING (80.6324022 16.5055938, 80.6325772 16.5059232)",,,,,,
279954241,residential,,,,False,False,129.17720755143307,"LINESTRING (80.6460157 16.5064335, 80.6456685 16.5053205)",,,,,,
843775115,tertiary,,,AS Rama Rao Road,True,False,55.57222841910848,"LINESTRING (80.6460157 16.5064335, 80.6458328 16.5064894, 80.6455133 16.5065658)",,,,,,
177626338,tertiary,,,Nakkala Road,True,False,16.900952181306867,"LINESTRING (80.629299 16.5067267, 80.6292363 16.5065871)",,,,,,
350502993,secondary,3,,MG Road,True,False,304.0335351039904,"LINESTRING (80.629299 16.5067267, 80.6301558 16.5064135, 80.6306845 16.5062498, 80.6307505 16.5062225, 80.6307878 16.5062071, 80.6311109 16.5060735, 80.6313574 16.505979, 80.6314109 16.5059587, 80.6319611 16.5057496)",,MDR074,,,,
279711397,residential,,,,False,True,49.84729971926681,"LINESTRING (80.6390496 16.5068009, 80.6390361 16.5063528)",,,,,,
305817522,tertiary,,,Sikhamani Center Road,False,False,33.56013703910496,"LINESTRING (80.6390496 16.5068009, 80.6387752 16.5069488)",,,,,,
305817522,tertiary,,,Sikhamani Center Road,False,True,100.1742559836004,"LINESTRING (80.6390496 16.5068009, 80.6399279 16.507121)",,,,,,
279711401,residential,,,,False,True,67.93135772386297,"LINESTRING (80.6390496 16.5068009, 80.6394784 16.5065769, 80.6395669 16.5065506, 80.6396214 16.5065374)",,,,,,
305817522,tertiary,,,Sikhamani Center Road,False,False,33.38411718292206,"LINESTRING (80.6402241 16.5072184, 80.6399279 16.507121)",,,,,,
305817522,tertiary,,,Sikhamani Center Road,False,True,19.370301880257276,"LINESTRING (80.6402241 16.5072184, 80.6403966 16.5072731)",,,,,,
